time_s,curr_x,curr_y,curr_z,tgt_x,tgt_y,tgt_z,vel_x,vel_y,vel_z,roll_rad,pitch_rad,yaw_rad
0.086,-0.3537,-0.1005,2.0017,2.0000,1.0000,3.0000,0.0036,-0.0059,0.0137,-0.0549,0.0064,0.0110
0.183,-0.3529,-0.1006,2.0050,2.0000,1.0000,3.0000,0.0150,0.0058,0.0589,-0.0767,0.0323,0.0101
0.286,-0.3489,-0.0978,2.0151,2.0000,1.0000,3.0000,0.0790,0.0595,0.1480,-0.1144,0.0863,0.0078
0.383,-0.3360,-0.0881,2.0342,2.0000,1.0000,3.0000,0.1869,0.1388,0.2329,-0.1456,0.1434,0.0060
0.483,-0.3083,-0.0681,2.0628,2.0000,1.0000,3.0000,0.3590,0.2541,0.3291,-0.1658,0.1870,0.0069
0.584,-0.2612,-0.0355,2.1011,2.0000,1.0000,3.0000,0.5670,0.3868,0.4264,-0.1749,0.2105,0.0107
0.683,-0.1924,0.0107,2.1493,2.0000,1.0000,3.0000,0.7876,0.5248,0.5265,-0.1739,0.2133,0.0157
0.784,-0.1018,0.0706,2.2075,2.0000,1.0000,3.0000,1.0187,0.6690,0.6403,-0.1640,0.1981,0.0202
0.883,0.0086,0.1428,2.2760,2.0000,1.0000,3.0000,1.1841,0.7719,0.7350,-0.1474,0.1715,0.0226
0.985,0.1492,0.2341,2.3635,2.0000,1.0000,3.0000,1.3481,0.8718,0.8485,-0.1270,0.1409,0.0227
1.083,0.2759,0.3157,2.4438,2.0000,1.0000,3.0000,1.4497,0.9295,0.9282,-0.1054,0.1115,0.0212
1.183,0.4256,0.4110,2.5390,2.0000,1.0000,3.0000,1.5298,0.9661,0.9691,-0.0831,0.0864,0.0193
1.283,0.5816,0.5084,2.6357,2.0000,1.0000,3.0000,1.5762,0.9713,0.9648,-0.0489,0.0486,0.0184
1.383,0.7399,0.6042,2.7292,2.0000,1.0000,3.0000,1.5737,0.9360,0.9171,-0.0022,-0.0151,0.0176
1.483,0.8946,0.6941,2.8160,2.0000,1.0000,3.0000,1.5119,0.8611,0.8340,0.0376,-0.0828,0.0160
1.583,1.0401,0.7748,2.8930,2.0000,1.0000,3.0000,1.3986,0.7572,0.7239,0.0655,-0.1362,0.0153
